"restaurant_name","cuisines","cost","timings","collections","url"
"Feast - Sheraton Hyderabad Hotel","Modern Indian, Asian, Continental, Italian",2500,"6:30am – 10:30am, 12:30pm – 3pm, 7pm – 11pm...","Sunday Brunches, Great Breakfasts, Function Venues, Ramadan 2019","https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli"
"Shree Santosh Dhaba Family Restaurant","North Indian, Chinese, Fast Food",500,"11am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli"
"Asian Meal Box","Asian",200,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)...",NA,"https://www.zomato.com/hyderabad/asian-meal-box-gachibowli"
"The Tilt Bar Republic","North Indian, Continental, Italian",1500,"12noon – 12midnight (Mon-Sun)","Gigs and Events, Corporate Favorites, Happy Hours, Great Buffets","https://www.zomato.com/thetiltbarrepublic"
"Eat India Company","North Indian, Mughlai, Beverages",1300,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/eat-india-company-gachibowli"
"Prism Club & Kitchen","Kebab, Continental, Italian, North Indian",1200,"5pm – 12midnight (Mon-Sun)","Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events","https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli"
"Labonel","Bakery, Desserts",1000,"11am – 8pm (Mon-Sat),Closed (Sun)","Best Bakeries","https://www.zomato.com/hyderabad/labonel-gachibowli"
"Aromas@11SIX","North Indian, Chinese, Mughlai, Biryani",750,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/aromas11six-gachibowli"
"Hyderabad Chefs","North Indian, Chinese",600,"12noon – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli"
"Komatose - Holiday Inn Express & Suites","North Indian, Chinese, Japanese, Sushi",1500,"1pm – 11pm (Mon-Sun)","Happy Hours, Top-Rated, Gold Curated","https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli"
"Dine O China","Chinese, Asian, Momos",850,"11:30am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dine-o-china-gachibowli"
"Faasos","Fast Food, Biryani, Desserts",600,"9am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/faasos-gachibowli"
"Urban Asia - Kitchen & Bar","Asian, Thai, Chinese, Sushi, Momos",1100,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-gachibowli"
"Khaan Saab","North Indian, Mughlai",1100,"12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)","New on Gold","https://www.zomato.com/hyderabad/khaan-saab-gachibowli"
"Royal Spicy Restaurant","North Indian, South Indian",700,"10:30am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli"
"Squeeze @ The Lime","Italian, North Indian, Chinese, Salad",650,"7am – 10:30am, 12:30pm – 3:30pm, 7pm – 11pm...","Veggie Friendly","https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli"
