"restaurant_name","cuisines","cost","timings","collections","url"
"Nala Bhimas","South Indian, North Indian",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nala-bhimas-gachibowli"
"The Plate Company","Hyderabadi",200,"11am – 3pm, 7pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-plate-company-gachibowli"
"Madhu's Kitchen","Chinese, North Indian, South Indian",250,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/madhus-kitchen-gachibowli"
"Palamuru Pakodi","Fast Food",500,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/palamuru-pakodi-gachibowli"
"The Kolkata Rolls","Rolls, Fast Food",100,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-kolkata-rolls-gachibowli"
"Beirut Express","Arabian, Lebanese",500,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/beirut-express-gachibowli"
"SD Milkshakes","Beverages, Fast Food",200,"10:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sd-milkshakes-gachibowli"
"Adraq by OYO","North Indian",400,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/adraq-by-oyo-gachibowli"
"TCB - THE CRAFTED BOTTLE","Juices",200,"7am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tcb-the-crafted-bottle-gachibowli"
"Alladin Shawarma","North Indian",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alladin-shawarma-gachibowli"
"Darleys Ice Cream","Desserts, Ice Cream",150,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/darleys-ice-cream-gachibowli"
"#Hunger Cure","North Indian, Chinese",500,"8am – 11:30pm (Mon),8am – 12midnight (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/hunger-cure-1-gachibowli"
"Shakes Stories","Fast Food, Beverages",500,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shakes-stories-gachibowli"
"Lakshmi House Of Biryani & Pulav","North Indian, South Indian",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lakshmi-house-of-biryani-pulav-gachibowli"
"Old Fox","Biryani",250,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/old-fox-gachibowli"
"Hotbux Rolls and Snacks","Rolls",150,"1pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hotbux-rolls-and-snacks-gachibowli"
"Health-E-Foods","South Indian",150,"6am – 12:30pm, 5pm – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/health-e-foods-gachibowli"
"Hotel Sitara Grand","North Indian, Chinese",800,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hotel-sitara-grand-gachibowli"
"Sri Balaji Family Dhaba","North Indian",350,"7:30am – 11:45pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-balaji-family-dhaba-gachibowli"
"Sri Tirumala Food Court & Caterers","South Indian",200,"7:45am – 11pm (Mon-Sat), (Sun)",NA,"https://www.zomato.com/hyderabad/sri-tirumala-food-court-caterers-gachibowli"
"Quality Rolls","Rolls",250,"4pm – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/quality-rolls-gachibowli"
"Irani Chai","Beverages",100,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/irani-chai-gachibowli"
"ZAN Food Court & Desserts Juice","Juices, Desserts",200,"12:30pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zan-food-court-desserts-juice-gachibowli"
"O'Biryani by OYO","Biryani",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/obiryani-by-oyo-gachibowli"
"Chic N Cone","Fast Food",200,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chic-n-cone-gachibowli"
"Onepm","South Indian, Andhra",200,"12:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/onepm-gachibowli"
"Software  Engineer Da Dhaba","Street Food",150,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/software-engineer-da-dhaba-gachibowli"
"Scoops N Shakes","Desserts, Beverages",250,"12noon – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/scoops-n-shakes-gachibowli"
"Cake World Bakery","Bakery, Desserts",300,"10am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cake-world-bakery-1-gachibowli"
"MC Wich","Sandwich, Fast Food",200,"7:30am – 1:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mc-wich-gachibowli"
"99Teas","Tea, Beverages",150,"12noon – 1:30am (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/99teas-gachibowli"
"Cook N Fire","Chinese, North Indian",250,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cook-n-fire-1-gachibowli"
"Brownie Store","Desserts",150,"7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/brownie-store-gachibowli"
"Shawarma.inn","Lebanese, Arabian",300,"1pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shawarma-inn-gachibowli"
"Royal Shawarma Corner","Arabian",250,"4pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/royal-shawarma-corner-gachibowli"
"Akshaya Restaurant","South Indian",300,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/akshaya-restaurant-1-gachibowli"
"Manasa Grand","South Indian",200,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/manasa-grand-gachibowli"
"The J","Fast Food, Beverages",400,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-j-gachibowli"
"Hatti Kaapi","South Indian, Beverages",250,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hatti-kaapi-2-gachibowli"
"Raw Bytes","Juices, Beverages",150,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/raw-bytes-gachibowli"
"Happy Eats","North Indian, Continental",300,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/happy-eats-gachibowli"
"Food Pepper","North Indian, South Indian, Healthy Food",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-pepper-gachibowli"
"Being Foodie Biryanis","Biryani, Fast Food",300,"7pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/being-foodie-biryanis-gachibowli"
"Be'wiched","North Indian",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bewiched-gachibowli"
"Yummi Shawarma Hub","Lebanese, Fast Food",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/yummi-shawarma-hub-gachibowli"
"Apna Dosa","South Indian",250,"5pm – 11pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/apna-dosa-gachibowli"
"Creamery Thickshake Zone","Beverages, Desserts",300,"4pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/creamery-thickshake-zone-gachibowli"
"Hotel Balaji","North Indian, Chinese",400,"11am – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hotel-balaji-gachibowli"
"Dall House","North Indian, South Indian, Chinese, Beverages",350,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dall-house-gachibowli"
"The Chinese Bowl","Chinese",400,"10am – 2am (Mon, Fri, Sat, Sun), 12noon – 11pm...",NA,"https://www.zomato.com/hyderabad/the-chinese-bowl-gachibowli"
"Say Samosay","Street Food",100,"12noon – 8pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/say-samosay-gachibowli"
"London Bubble Co.","Desserts, Bubble Tea",400,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/london-bubble-co-gachibowli"
"House of Dosas","South Indian",150,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/house-of-dosas-gachibowli"
"Sizziling China","Chinese",400,"1:30pm – 11:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sizziling-china-gachibowli"
"Indochi","North Indian, Chinese",700,"11:30am – 3:30pm, 7pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indochi-gachibowli"
"Dark Stone","Desserts, Beverages",300,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dark-stone-gachibowli"
"Kuchkus Kitchen","North Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kuchkus-kitchen-gachibowli"
"Kakathiya Food Court","North Indian, Mughlai",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kakathiya-food-court-gachibowli"
"Taste Of Village","South Indian, Andhra",150,"7am – 11am, 4:30pm – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/taste-of-village-gachibowli"
"Millet Street","North Indian",500,"10:30am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/millet-street-gachibowli"
"Nakshatra Food Court","North Indian, Chinese",450,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nakshatra-food-court-gachibowli"
"M.A Food Hub","Biryani, Chinese",350,NA,NA,"https://www.zomato.com/hyderabad/m-a-food-hub-gachibowli"
"The Tea Planet","Tea",150,"2pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-tea-planet-1-gachibowli"
"ChickenWalla","North Indian, South Indian, Desserts",500,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chickenwalla-gachibowli"
"Gujrati Food & Snack","Street Food, Fast Food",250,"4pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gujrati-food-snack-gachibowli"
"Sukha Sagara","South Indian, Chinese",200,"6am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sukha-sagara-gachibowli"
"Menu Home Cooked","North Indian, South Indian",350,"11am – 10pm (Mon, Wed, Thu, Fri, Sat, Sun), Closed...",NA,"https://www.zomato.com/hyderabad/menu-home-cooked-gachibowli"
"Y9 Multicuisine Restaurant","Biryani, Australian, Chinese, Arabian, Tea",500,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/y9-multicuisine-restaurant-1-gachibowli"
"Baithak Where Else","North Indian, Fast Food",600,"7am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/baithak-where-else-gachibowli"
"Kulfiholics","Ice Cream, Desserts",100,"11:30am – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kulfiholics-gachibowli"
"Taste Of Chicken","North Indian",250,"4pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/taste-of-chicken-gachibowli"
"Srirama Excellency","North Indian, Chinese",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/srirama-excellency-gachibowli"
"What The Food","Hyderabadi, Chinese",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/what-the-food-gachibowli"
"Empire Food Court","North Indian, Mughlai",400,"6pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/empire-food-court-gachibowli"
"Pandu Tiffins","South Indian",100,"7am – 2pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pandu-tiffins-gachibowli"
"Laziz Momos","Chinese",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/laziz-momos-gachibowli"
"Hazel 3 Shakes","Beverages",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hazel-3-shakes-gachibowli"
"Biryani 2.0","Biryani, Beverages, Desserts",500,"11am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/biryani-2-0-gachibowli"
"Mr Biryani Box","Biryani, Chinese, South Indian",450,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mr-biryani-box-gachibowli"
"Parantha Pundit","North Indian",250,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/parantha-pundit-gachibowli"
"Master of Momos","Momos",150,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/master-of-momos-gachibowli"
"Hyderabad Spices","Hyderabadi",300,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hyderabad-spices-gachibowli"
"Sri Sai Ganesh Chicken Biryani And Curry point","Andhra, Biryani, Fast Food",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-sai-ganesh-chicken-biryani-and-curry-point-gachibowli"
"Ants Cafe","North Indian, Chinese, Continental",600,NA,NA,"https://www.zomato.com/hyderabad/ants-cafe-gachibowli"
"Amma Chethivantalu","South Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/amma-chethivantalu-gachibowli"
"Fries And Cones","American",500,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fries-and-cones-gachibowli"
"Cactus Food Court","North Indian, Chinese, Fast Food",400,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cactus-food-court-gachibowli"
"Ammamma Gari Vanta","South Indian, North Indian",350,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ammamma-gari-vanta-gachibowli"
"ABC - Absolutely Broasted Chicken","Fast Food",450,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/abc-absolutely-broasted-chicken-gachibowli"
"Snack Wagon","Bakery, Desserts",300,"8am – 4pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/snack-wagon-gachibowli"
"Sri Lakshmi Narsimha Tiffins and Meals","North Indian",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-lakshmi-narsimha-tiffins-and-meals-gachibowli"
"Hn Muttu's","South Indian",100,"4pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hn-muttu-039-s-gachibowli"
"International Juice And Icecream","Beverages, Fast Food",200,"10:30am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/international-juice-and-icecream-gachibowli"
"Ripe Earth","Juices",150,"11am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ripe-earth-gachibowli"
"Dun Express","North Indian",350,"7:30pm – 10:30pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/dun-express-gachibowli"
"S L Bakers","Bakery",200,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/s-l-bakers-gachibowli"
"Manuu Cafeteria","North Indian, South Indian, Chinese",300,"9am – 9pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/manuu-cafeteria-gachibowli"
"Urban Kebab Rolls","Rolls",100,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/urban-kebab-rolls-gachibowli"
"Smoky Shawarma","Lebanese, Fast Food",200,"12noon – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/smoky-shawarma-gachibowli"
"Scoops Ice Cream","Desserts",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/scoops-ice-cream-gachibowli"
"Rice Bucket","Fast Food",300,"7am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rice-bucket-gachibowli"
"Shri Krishna Foods","South Indian",150,"9:30am – 5pm (Mon, Tue, Thu, Fri, Sat, Sun)...",NA,"https://www.zomato.com/hyderabad/shri-krishna-foods-gachibowli"
"The Kebab House","Kebab, Chinese, Beverages",400,"7pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-kebab-house-gachibowli"
"To Go Box","South Indian",500,"12noon – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/to-go-box-gachibowli"
"Six Addictions","Bakery, Desserts",150,"9am – 8pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/six-addictions-gachibowli"
"Padmasri Homely Food","Andhra, South Indian",300,"11am – 3pm, 6pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/padmasri-homely-food-gachibowli"
"Spring Leafs Lemon Grass","North Indian, Chinese",300,"5:30am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/spring-leafs-lemon-grass-gachibowli"
"Parathe Balle Balle","North Indian",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/parathe-balle-balle-gachibowli"
"RS Chips and Italian Food","Italian",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rs-chips-and-italian-food-gachibowli"
"3C Cakes & Cookies","Bakery, Fast Food",200,"9am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/3c-cakes-cookies-gachibowli"
"Jai Bhavani Food Court","Biryani, Chinese, South Indian",450,"12noon – 3pm, 7pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jai-bhavani-food-court-gachibowli"
"Josh","Fast Food",400,NA,NA,"https://www.zomato.com/hyderabad/josh-gachibowli"
"Season Food Court","Mughlai, North Indian, Biryani",500,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/season-food-court-gachibowli"
"Momo Time","Momos, Chinese",300,NA,NA,"https://www.zomato.com/hyderabad/momo-time-gachibowli"
"Flavors Kitchen","South Indian",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/flavors-kitchen-gachibowli"
"Waffle In The Box","Desserts",300,"7:30am – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/waffle-in-the-box-gachibowli"
"R & V Special Biryani","Biryani, North Indian, Chinese",300,NA,NA,"https://www.zomato.com/hyderabad/r-v-special-biryani-gachibowli"
"Spice Gossips","Chinese, North Indian",600,"12noon – 11:15pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/spice-gossips-gachibowli"
"Ever Green TeaSpot","Fast Food",300,"4pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ever-green-teaspot-gachibowli"
"Hungers Hut","South Indian, Hyderabadi, North Indian, Fast Food",300,"10am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hungers-hut-gachibowli"
"Sree Sai Multicuisine Restaurant","South Indian",150,"7am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sree-sai-multicuisine-restaurant-gachibowli"
"Urban Kebab","Kebab, Rolls",200,NA,NA,"https://www.zomato.com/hyderabad/urban-kebab-gachibowli"
"Sri Sai Tiffins","South Indian",150,"6am – 1pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-sai-tiffins-gachibowli"
"Gole Wala And Lassi","Desserts, Beverages",100,"12noon – 5am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gole-wala-and-lassi-gachibowli"
"Pirates Of Grill","North Indian, Chinese, Mughlai",600,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pirates-of-grill-gachibowli"
"Parathe Sulthanat","North Indian",300,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/parathe-sulthanat-gachibowli"
"Singhs Ka Swag","North Indian, Biryani",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/singhs-ka-swag-gachibowli"
"Favourite Restaurant","North Indian, Chinese",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/favourite-restaurant-gachibowli"
"Taste Of Nawab","North Indian, Rolls, Mughlai, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/taste-of-nawab-gachibowli"
"Biryani & puloa","Biryani",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/biryani-puloa-gachibowli"
"Tandoor Singh","North Indian, Chinese, Rolls",500,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tandoor-singh-gachibowli"
"Manaswi Corporate Food Court","Street Food",100,"5am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/manaswi-corporate-food-court-gachibowli"
"Burgery","Burger, Fast Food",400,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/burgery-gachibowli"
"Sindh Chowk","North Indian, Street Food",200,"6pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sindh-chowk-2-gachibowli"
